estado;divisao;ano;data;mandante;visitante;placar;gols_mandante;gols_visitante;resultado;peso_importancia
sao-paulo;5;2020;2020-11-10;Amparo;Guarulhos;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-11-10;União Mogi;Manthiqueira;2-2;2;2;D;1.0
sao-paulo;5;2020;2020-11-10;São José;Atlético Mogi;6-0;6;0;H;1.0
sao-paulo;5;2020;2020-11-11;Andradina EC;Araçatuba;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-11-11;Tanabi;América-SP;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-11-11;Assisense;Grêmio Prudente;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-11-11;Rio Branco-SP;Elosport Capão Bonito;2-2;2;2;D;1.0
sao-paulo;5;2020;2020-11-11;União Barbarense;Itararé;1-3;1;3;A;1.0
sao-paulo;5;2020;2020-11-11;Mauá;Osasco FC;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-11-11;Jabaquara;Grêmio Mauaense;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-11-11;Osvaldo Cruz;VOCEM;0-2;0;2;A;1.0
sao-paulo;5;2020;2020-11-13;Inter de Bebedouro;XV de Jaú;0-2;0;2;A;1.0
sao-paulo;5;2020;2020-11-13;Manthiqueira;São José;3-2;3;2;H;1.0
sao-paulo;5;2020;2020-11-13;Atlético Mogi;União Suzano;0-9;0;9;A;1.0
sao-paulo;5;2020;2020-11-14;América-SP;Andradina EC;4-1;4;1;H;1.0
sao-paulo;5;2020;2020-11-14;Araçatuba;Bandeirante;0-7;0;7;A;1.0
sao-paulo;5;2020;2020-11-14;VOCEM;Assisense;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-11-14;Grêmio Prudente;Tupã;3-1;3;1;H;1.0
sao-paulo;5;2020;2020-11-14;Itararé;Rio Branco-SP;0-0;0;0;D;1.0
sao-paulo;5;2020;2020-11-14;Elosport Capão Bonito;Independente de Limeira;0-2;0;2;A;1.0
sao-paulo;5;2020;2020-11-14;Guarulhos;Flamengo-SP;2-3;2;3;A;1.0
sao-paulo;5;2020;2020-11-14;Brasilis;Itapirense;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-11-14;Grêmio Mauaense;Mauá;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-11-14;Osasco FC;Barcelona Esportivo;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-11-14;Francana;Matonense;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-11-18;Andradina EC;Tanabi;4-1;4;1;H;1.0
sao-paulo;5;2020;2020-11-18;Bandeirante;América-SP;0-0;0;0;D;1.0
sao-paulo;5;2020;2020-11-18;Assisense;Osvaldo Cruz;1-3;1;3;A;1.0
sao-paulo;5;2020;2020-11-18;Tupã;VOCEM;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-11-18;XV de Jaú;Grêmio São-Carlense;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-11-18;Matonense;Inter de Bebedouro;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-11-18;Rio Branco-SP;União Barbarense;3-2;3;2;H;1.0
sao-paulo;5;2020;2020-11-18;Independente de Limeira;Itararé;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-11-18;Flamengo-SP;Amparo;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-11-18;Itapirense;Guarulhos;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-11-18;São José;União Mogi;5-3;5;3;H;1.0
sao-paulo;5;2020;2020-11-18;União Suzano;Manthiqueira;3-1;3;1;H;1.0
sao-paulo;5;2020;2020-11-18;Mauá;Jabaquara;0-0;0;0;D;1.0
sao-paulo;5;2020;2020-11-18;Barcelona Esportivo;Grêmio Mauaense;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-11-21;Andradina EC;Grêmio Prudente;0-4;0;4;A;1.0
sao-paulo;5;2020;2020-11-21;Rio Branco-SP;Francana;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-11-21;Amparo;Mauá;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-11-21;Ska Brasil;Manthiqueira;1-3;1;3;A;1.0
sao-paulo;5;2020;2020-11-22;Osvaldo Cruz;Independente de Limeira;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-11-22;XV de Jaú;Bandeirante;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-11-22;Itapirense;São José;2-3;2;3;A;1.0
sao-paulo;5;2020;2020-11-22;Itararé;Jabaquara;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-11-25;Grêmio Prudente;Andradina EC;3-1;3;1;H;1.0
sao-paulo;5;2020;2020-11-25;Independente de Limeira;Osvaldo Cruz;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-11-25;Manthiqueira;Ska Brasil;3-1;3;1;H;1.0
sao-paulo;5;2020;2020-11-25;Jabaquara;Itararé;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-11-25;Mauá;Amparo;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-11-25;Francana;Rio Branco-SP;2-2;2;2;D;1.0
sao-paulo;5;2020;2020-11-25;Bandeirante;XV de Jaú;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-11-25;São José;Itapirense;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-11-28;Rio Branco-SP;São José;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-11-28;Mauá;Grêmio Prudente;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-11-28;Itararé;Manthiqueira;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-11-29;Osvaldo Cruz;Bandeirante;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-12-02;Grêmio Prudente;Mauá;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-12-02;Manthiqueira;Itararé;3-2;3;2;H;1.0
sao-paulo;5;2020;2020-12-02;Bandeirante;Osvaldo Cruz;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-12-02;São José;Rio Branco-SP;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-12-10;Manthiqueira;São José;1-2;1;2;A;1.0
sao-paulo;5;2020;2020-12-10;Grêmio Prudente;Bandeirante;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-12-13;Bandeirante;Grêmio Prudente;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-12-13;São José;Manthiqueira;4-0;4;0;H;1.0
sao-paulo;5;2020;2020-12-16;Bandeirante;São José;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-12-19;São José;Bandeirante;1-0;1;0;H;1.0
sao-paulo;4;2025;2025-01-22;Joseense;Taquaritinga;2-0;2;0;H;1.0
sao-paulo;4;2025;2025-01-22;Nacional-SP;São Caetano;1-2;1;2;A;1.0
