nome_simplificado;nome_clube;estado;uf;cidade;latitude;longitude;inception;codigo_ibge
NOVA IGUAÇU;Nova Iguaçu Futebol Clube;Rio de Janeiro;RJ;Nova Iguaçu;-22.7556;-43.4603;1990-01-01T00:00:00Z;3303500
OLÍMPICO;Olímpico Clube;Amazonas;AM;Manaus;-3.11866;-60.0212;1938-10-17T00:00:00Z;1302603
OLÍMPICO PIRAMBU;Olímpico Pirambu Futebol Clube;Sergipe;SE;Pirambu;-10.7215;-36.8544;1931-09-04T00:00:00Z;2805307
OPERÁRIO LTDA;Operário Futebol Clube Ltda.;Piauí;PI;Várzea Grande;-6.54899;-42.248;2002-01-01T00:00:00Z;2211407
ORION;Orion Futebol Clube;Ceará;CE;Fortaleza;-3.71664;-38.5423;1929-01-01T00:00:00Z;2304400
PAISSANDU ATLÉTICO;Paissandu Atlético Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1872-01-01T00:00:00Z;3304557
PALMAS;Palmas Futebol e Regatas;Paraná;PR;Palmas;-26.4839;-51.9888;1997-01-01T00:00:00Z;4117602
PANTANAL;Pantanal Futebol Clube;Mato Grosso do Sul;MS;Ladário;-19.0089;-57.5973;1987-01-01T00:00:00Z;5005202
PARANOÁ;Paranoá Esporte Clube;Rio Grande do Sul;RS;Colorado;-28.5258;-52.9928;2000-01-01T00:00:00Z;4305603
PEDREIRA;Pedreira Esporte Clube;Pará;PA;Belém;-1.4554;-48.4898;1925-01-01T00:00:00Z;1501402
PETROPOLITANO;Petropolitano Foot-Ball Club;Rio de Janeiro;RJ;Petrópolis;-22.52;-43.1926;;3303906
PINHEIROS;Pinheiros Futebol Clube;Espírito Santo;ES;Pinheiros;-18.4141;-40.2171;1993-01-01T00:00:00Z;3204104
PIONEIRA;Pioneira Futebol Clube;Tocantins;TO;Taguatinga;-12.4026;-46.437;;1720903
