estado;divisao;ano;data;mandante;mandante_estado;visitante;visitante_estado;placar;resultado;peso_importancia;gols_mandante;gols_visitante;estado_slug
rio-de-janeiro;1;2023;2023-03-09;VASCO;rio-de-janeiro;BANGU;rio-de-janeiro;2-0;H;2.0;2;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-12;VOLTA REDONDA;rio-de-janeiro;FLUMINENSE;rio-de-janeiro;2-1;H;2.0;2;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-13;FLAMENGO;rio-de-janeiro;VASCO;rio-de-janeiro;3-2;H;2.0;3;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-18;NOVA IGUAÇU;rio-de-janeiro;AUDAX RIO;rio-de-janeiro;1-1;D;2.0;1;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-18;FLUMINENSE;rio-de-janeiro;VOLTA REDONDA;rio-de-janeiro;7-0;H;2.0;7;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-18;PORTUGUESA;rio-de-janeiro;BOTAFOGO;rio-de-janeiro;0-0;D;2.0;0;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-19;VASCO;rio-de-janeiro;FLAMENGO;rio-de-janeiro;1-3;A;2.0;1;3;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-26;AUDAX RIO;rio-de-janeiro;NOVA IGUAÇU;rio-de-janeiro;1-0;H;2.0;1;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-27;BOTAFOGO;rio-de-janeiro;PORTUGUESA;rio-de-janeiro;3-1;H;2.0;3;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-04-01;FLAMENGO;rio-de-janeiro;FLUMINENSE;rio-de-janeiro;2-0;H;2.0;2;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-04-02;AUDAX RIO;rio-de-janeiro;BOTAFOGO;rio-de-janeiro;1-2;A;2.0;1;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-04-09;BOTAFOGO;rio-de-janeiro;AUDAX RIO;rio-de-janeiro;5-2;H;2.0;5;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-04-09;FLUMINENSE;rio-de-janeiro;FLAMENGO;rio-de-janeiro;4-1;H;2.0;4;1;rio_de_janeiro
rio-de-janeiro;1;2022;2022-01-25;BOAVISTA;rio-de-janeiro;BOTAFOGO;rio-de-janeiro;1-1;D;2.0;1;1;rio_de_janeiro
rio-de-janeiro;1;2022;2022-01-26;AUDAX RIO;rio-de-janeiro;NOVA IGUAÇU;rio-de-janeiro;0-0;D;2.0;0;0;rio_de_janeiro
rio-de-janeiro;1;2022;2022-01-26;VOLTA REDONDA;rio-de-janeiro;VASCO;rio-de-janeiro;2-4;A;2.0;2;4;rio_de_janeiro
rio-de-janeiro;1;2022;2022-01-26;FLAMENGO;rio-de-janeiro;PORTUGUESA;rio-de-janeiro;2-1;H;2.0;2;1;rio_de_janeiro
rio-de-janeiro;1;2022;2022-01-27;MADUREIRA;rio-de-janeiro;RESENDE;rio-de-janeiro;1-0;H;2.0;1;0;rio_de_janeiro
rio-de-janeiro;1;2022;2022-01-27;FLUMINENSE;rio-de-janeiro;BANGU;rio-de-janeiro;0-1;A;2.0;0;1;rio_de_janeiro
rio-de-janeiro;1;2022;2022-01-29;PORTUGUESA;rio-de-janeiro;AUDAX RIO;rio-de-janeiro;1-0;H;2.0;1;0;rio_de_janeiro
rio-de-janeiro;1;2022;2022-01-29;VOLTA REDONDA;rio-de-janeiro;FLAMENGO;rio-de-janeiro;0-0;D;2.0;0;0;rio_de_janeiro
rio-de-janeiro;1;2022;2022-01-29;VASCO;rio-de-janeiro;BOAVISTA;rio-de-janeiro;1-1;D;2.0;1;1;rio_de_janeiro
