clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
ATLÉTICO CERRADO/tocantins;-10.1753;-48.8839;0.0002584105065219;0;2;0;0;1;3
ROLIM DE MOURA/rondonia;-11.7271;-61.7714;0.000255261212375;1;2;0;1;2;1
SAMPAIO/roraima;2.82384;-60.6753;0.0002534317653476;0;2;0;1;2;2
CANÁRIO/amapa;-0.0389;-51.0664;0.000244272195553;0;2;0;0;0;0
BARE/amapa;-0.0383;-51.0632;0.0002405215252181;0;2;0;0;0;0
BELENENSE/para;-1.2947;-48.4558;0.0002398997184586;0;2;0;0;0;0
UNIÃO DE PALMAS/tocantins;-10.1844;-48.3336;0.0002360163655224;0;2;0;0;1;3
G.A.S/roraima;1.8153;-61.1272;0.0002351513003329;0;2;0;1;2;2
TESLA/para;-1.4558;-48.4902;0.0002340410780164;0;2;0;0;0;0
ADEC/amapa;2.49804;-50.9496;0.0002331367030164;0;2;0;0;0;0
MARAJÓ/para;-1.6821;-50.4802;0.0002324869245178;0;2;0;0;0;0
PIMENTENSE/rondonia;-11.672;-61.198;0.0002312969881046;1;2;0;1;1;1
SETE/amazonas;-3.119;-60.0217;0.000230641854684;0;2;0;1;2;2
PARAÍSO/tocantins;-10.1753;-48.8839;0.0002288619705224;0;2;0;0;1;3
RONDONÓPOLIS/mato_grosso;-16.4673;-54.6372;0.0002223444327119;1;2;0;1;1;1
ITACOATIARA/amazonas;-3.1417;-58.4444;0.0002158086614609;0;2;0;1;2;2
LIBRADE/amazonas;-3.119;-60.0217;0.0002086462533533;0;2;0;1;2;2
GUAJARÁ/rondonia;-10.7889;-65.3296;0.0002077686104061;1;2;0;1;2;1
SANTA CRUZ/acre;-9.974;-67.8076;0.0002075200575104;1;2;0;1;2;1
CUIABÁ B/mato_grosso;-15.601;-56.0974;0.0002001284368227;1;2;0;1;1;1
ARSENAL/tocantins;-6.32447;-47.4224;0.0001985324085413;0;2;0;0;0;3
SPORTING MARACANÃ/para;-1.0217;-46.6347;0.0001953678458181;0;2;0;0;0;0
TAQUARUSSÚ/tocantins;-10.1844;-48.3336;0.0001933670156722;0;2;0;0;1;3
PROGRESSO/roraima;2.43998;-60.9096;0.0001763612164635;0;2;0;1;2;2
ALTAMIRA/para;-3.20407;-52.21;0.0001760062200668;0;2;0;0;0;0
MIRANORTE/tocantins;-9.52907;-48.5922;0.0001728744397167;0;2;0;0;1;3
UIRAPURU/mato_grosso;-15.601;-56.0974;0.0001706482941294;1;2;0;1;1;1
