clube;estado;cidade;lat;lon;ibge;wins;draws;losses;cluster_logistico
DÍNAMO;alagoas;Maceió;-9.6658;-35.735;2704302.0;2;3;19;11
UNIÃO INHUMAS;goias;Inhumas;-16.3611;-49.5001;5210000.0;2;1;7;6
PIMENTENSE;rondonia;Pimenta Bueno;-11.672;-61.198;1100189.0;2;4;10;5
PONTAPORANENSE;mato-grosso-do-sul;Ponta Porã;-22.5361;-55.7256;5006606.0;2;2;15;3
LAGOA;amapa;Macapá;0.034934;-51.0694;1600303.0;2;1;6;12
TAVEIRÓPOLIS;mato-grosso-do-sul;Campo Grande;-20.4697;-54.6201;5002704.0;2;0;8;3
ATLÉTICO CERRADO;tocantins;Paraíso do Tocantins;-10.1753;-48.8839;1716109.0;2;2;9;4
CANÁRIO;amapa;Macapá;0.034934;-51.0694;1600303.0;2;2;5;12
CANAÃ;bahia;Irecê;-11.3039;-41.8569;2914604.0;2;7;6;11
LAJEADENSE;rio-grande-do-sul;Lajeado;-29.4675;-51.9614;4311403.0;2;0;2;7
TUBARÃO;santa_catarina;Tubarão;-28.4713;-49.0144;4218707.0;2;8;16;7
MORENINHAS;mato-grosso-do-sul;Campo Grande;-20.4697;-54.6201;5002704.0;2;1;3;3
RIO BRANCO SPORT CLUB;parana;Paranaguá;-25.5161;-48.5225;4118204.0;2;6;16;7
ARSENAL CARIDADE;ceara;Caridade;-4.22514;-39.1912;2303006.0;1;0;9;9
COTINGUIBA;sergipe;Aracaju;-10.9091;-37.0677;2800308.0;1;1;5;11
CORITIBA B;parana;Curitiba;-25.4195;-49.2646;4106902.0;1;6;1;7
FIGUEIRENSE;minas-gerais;São João del-Rei;-21.1353;-44.2614;3162500.0;1;5;10;2
INTERNACIONAL;paraiba;Caaporã;-7.4289;-34.8967;2504001.0;1;0;4;8
PARAÍSO;tocantins;Paraíso do Tocantins;-10.1753;-48.8839;1716109.0;1;3;6;4
MARAJÓ;para;Breves;-1.6821;-50.4802;1501808.0;1;1;4;12
GUAJARÁ;rondonia;Guajará-Mirim;-10.7889;-65.3296;1100106.0;1;1;4;5
ANJOS DO CÉU;ceara;Cruz;-2.91813;-40.176;2304251.0;1;2;4;9
SÃO JOSÉ DE ITAPERUNA;rio-de-janeiro;Itaperuna;-21.1997;-41.8799;3302205.0;1;1;4;2
BETIS;minas-gerais;Ouro Branco;-20.5263;-43.6962;3145901.0;1;4;14;2
CAMAÇARIENSE;bahia;Camaçari;-12.6996;-38.3263;2905701.0;1;1;3;11
PIRAPORA;minas-gerais;Pirapora;-17.3392;-44.934;3151206.0;1;0;7;2
ATHLETICO PARANAENSE B;parana;Curitiba;-25.4195;-49.2646;4106902.0;1;3;2;7
TIMBAÚBA;pernambuco;Timbaúba;-7.50484;-35.3119;2615300.0;1;2;2;8
ATLÉTICO;mato-grosso;Alto Araguaia;-17.3153;-53.2181;5100300.0;1;2;6;5
COMERCIAL DE TRÊS LAGOAS;mato-grosso-do-sul;Três Lagoas;-20.7849;-51.7007;5008305.0;1;3;2;3
TAQUARUSSÚ;tocantins;Palmas;-10.1844;-48.3336;1721000.0;1;1;13;4
CANDANGO;distrito_federal;Brasília;-15.7795;-47.9297;5300108.0;1;0;6;6
EXPRESSINHO;maranhao;São Luís;-2.53874;-44.2825;2111300.0;1;0;13;10
ELOSPORT CAPÃO BONITO;sao-paulo;Sorocaba;-23.4969;-47.4451;3552205.0;1;2;5;1
ARSENAL;tocantins;Tocantinópolis;-6.32447;-47.4224;1721208.0;1;1;12;4
SPORTING MARACANÃ;para;Augusto Corrêa;-1.0217;-46.6347;1500909.0;0;2;2;12
ROYAL;goias;Luziânia;-16.2524;-47.9504;5212501.0;0;5;1;6
SERRANO;pernambuco;Serra Talhada;-7.98178;-38.289;2613909.0;0;1;9;9
MONTE CRISTO;goias;Goiânia;-16.6864;-49.2643;5208707.0;0;0;6;6
MISTO;mato-grosso-do-sul;Três Lagoas;-20.7849;-51.7007;5008305.0;0;3;4;3
MIRANORTE;tocantins;Miranorte;-9.52907;-48.5922;1713304.0;0;1;5;4
CAMAÇARI;bahia;Camaçari;-12.6996;-38.3263;2905701.0;0;0;5;11
BALSAS;maranhao;Balsas;-7.53214;-46.0372;2101400.0;0;1;3;4
SÃO GABRIEL;rio-grande-do-sul;São Gabriel;-30.3337;-54.3217;4318309.0;0;3;17;7
SANTA FÉ;pernambuco;Recife;-8.04666;-34.8771;2611606.0;0;2;3;8
BOLAMENSE;sergipe;Tobias Barreto;-11.1798;-37.9995;2807402.0;0;0;6;11
MARAU;rio-grande-do-sul;Santa Maria;-29.6868;-53.8149;4316907.0;0;5;27;7
SÃO DOMINGOS;alagoas;Marechal Deodoro;-9.711;-35.8953;2704708.0;0;1;5;11
GRÊMIO CARAJÁS;para;Belém;-1.4558;-48.4902;1501402.0;0;0;5;12
VOTUPORANGUENSE;sao_paulo;Guaíra;-20.3196;-48.312;3517406.0;0;1;0;3
ALTAMIRA;para;Altamira;-3.20407;-52.21;1500602.0;0;2;11;12
SOCIAL;minas-gerais;Coronel Fabriciano;-19.5179;-42.6276;3119401.0;0;2;6;2
CLUBE 1992;rio-grande-do-sul;Carazinho;-28.2839;-52.7844;4304705.0;0;8;6;7
MUTUM;mato_grosso;Nova Mutum;-13.8344;-56.0728;5106224.0;0;0;2;5
CHÃ GRANDE;pernambuco;Chã Grande;-8.23827;-35.4571;2604502.0;0;1;4;8
CEART;mato-grosso-do-sul;Dourados;-22.2239;-54.8064;5003702.0;0;1;5;3
PROGRESSO;roraima;Mucajaí;2.43998;-60.9096;1400308.0;0;3;20;13
TEIXEIRA DE FREITAS;bahia;Teixeira de Freitas;-17.5399;-39.74;2931350.0;0;0;2;2
NOVA ANDRADINA;mato-grosso-do-sul;Nova Andradina;-22.238;-53.3437;5006200.0;0;2;11;3
COLINAS;tocantins;Colinas do Tocantins;-8.05764;-48.4757;1705508.0;0;0;4;4
PORTELA;bahia;Teixeira de Freitas;-17.5348;-39.7424;2931350.0;0;1;5;2
ORLEANS;santa-catarina;Orleans;-28.3487;-49.2986;4211702.0;0;0;6;7
PAULISTANO;mato-grosso;Nortelândia;-14.4539;-56.8028;5106208.0;0;0;12;5
ARAGUARI;minas-gerais;Araguari;-18.6456;-48.1934;3103504.0;0;1;14;6
ARAIOSES;maranhao;Araioses;-2.8942;-41.9058;2100909.0;0;0;2;10
INTER SÃO GOTARDO;minas-gerais;São Gotardo;-19.3117;-46.0492;3162104.0;0;2;5;2
