clube;estado;cidade;lat;lon;ibge;wins;draws;losses;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5;cluster_k6;cluster_k7;cluster_k8;sub_cluster_m0_k2;sub_cluster_m0_k3;sub_cluster_m0_k4;sub_cluster_m1_k2;sub_cluster_m1_k3;sub_cluster_m1_k4;sub_cluster_m2_k2;sub_cluster_m2_k3;sub_cluster_m2_k4
NOVO HAMBURGO;RS;Novo Hamburgo;-29.6875;-51.1328;4313409.0;94;126;150;0.0012693265475438;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
XV DE JAÚ;SP;Piracicaba;-22.7338;-47.6476;3538709.0;46;25;27;0.0012594122775646;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
HERCÍLIO LUZ;SC;Tubarão;-28.4713;-49.0144;4218707.0;98;80;65;0.0012520744548438;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
MIXTO;MT;Cuiabá;-15.601;-56.0974;5103403.0;110;114;100;0.0012477133932187;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
NOVA VENÉCIA;ES;Nova Venécia;-18.715;-40.4053;3203908.0;72;49;37;0.0012475825242931;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
NOVA MUTUM;MT;Nova Mutum;-13.8344;-56.0728;5106224.0;124;116;112;0.0012461182401239;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
CAPITAL;TO;Palmas;-10.1844;-48.3336;1721000.0;23;15;33;0.0012394960298927;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
CENTRAL;PE;Caruaru;-8.28455;-35.9699;2604106.0;40;50;34;0.0012391704351731;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
BELFORD ROXO;RJ;Belford Roxo;-22.764;-43.3992;3300456.0;44;20;16;0.0012383915942852;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
AMERICA;RJ;Rio de Janeiro;-22.9129;-43.2003;3304557.0;50;61;39;0.0012375958490234;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
ÁGUA SANTA;SP;Diadema;-23.6813;-46.6205;3513801.0;70;64;72;0.0012351582187231;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
URT;MG;Patos de Minas;-18.5853;-46.5181;3148004.0;106;74;110;0.0012329713713712;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
SÃO BENTO;SP;Sorocaba;-23.4969;-47.4451;3552205.0;108;156;150;0.0012229253452679;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
CASTANHAL;PA;Castanhal;-1.29797;-47.9167;1502400.0;35;32;30;0.0012211680546994;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
AUDAX RIO;RJ;São João de Meriti;-22.8058;-43.3729;3305109.0;104;78;186;0.0012110374123579;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
SÃO JOSÉ;SP;São José dos Campos;-23.1896;-45.8841;3549904.0;64;47;40;0.0012091006961787;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
AMERICANO;RJ;Campos dos Goytacazes;-21.7622;-41.3181;3301009.0;55;46;46;0.0012067052381262;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
ÁGUIA NEGRA;MS;Rio Brilhante;-21.8033;-54.5427;5007208.0;76;76;102;0.0012042400551658;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
REAL BRASÍLIA;DF;Brasília;-15.7795;-47.9297;5300108.0;29;19;32;0.0011967216348334;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
