clube_id;clube;estado;lat;lon;cidade;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5;sub_cluster_m0_k2;sub_cluster_m0_k3;sub_cluster_m0_k4;sub_cluster_m1_k2;sub_cluster_m1_k3;sub_cluster_m1_k4;sub_cluster_m2_k2;sub_cluster_m2_k3;sub_cluster_m2_k4
CABOFRIENSE/rio_de_janeiro;Cabofriense;rio_de_janeiro;-22.8894;-42.0286;Cabo Frio;0.0011166969098404;1;1;0;0;;;;0.0;2.0;2.0;;;
BELA VISTA/tocantins;Bela Vista;tocantins;-6.1219;-47.9211;Cachoeirinha;0.0011135512713906;0;0;3;3;1.0;0.0;0.0;;;;;;
NACIONAL/amazonas;Nacional;amazonas;-3.11866;-60.0212;Manaus;0.0011113281456736;0;0;1;1;0.0;1.0;1.0;;;;;;
HUMAITÁ/acre;Humaitá;acre;-9.58138;-67.5478;Porto Acre;0.001109031321404;0;0;1;1;0.0;2.0;2.0;;;;;;
UNIÃO RONDONÓPOLIS/mato_grosso;União Rondonópolis;mato_grosso;-16.4673;-54.6372;Rondonópolis;0.0011083262689321;1;1;0;0;;;;0.0;0.0;0.0;;;
ANAPOLINA/goias;Anapolina;goias;-16.3281;-48.953;Anápolis;0.0011055824687796;1;1;0;0;;;;0.0;0.0;0.0;;;
RIO BRANCO/acre;Rio Branco;acre;-9.974;-67.8076;Rio Branco;0.0010995165664787;0;0;1;1;0.0;2.0;2.0;;;;;;
ALECRIM/rio_grande_do_norte;Alecrim;rio_grande_do_norte;-5.79357;-35.1986;Natal;0.0010862888454212;0;2;2;2;;;;;;;0.0;2.0;2.0
PORTO VITÓRIA/espirito_santo;Porto Vitória;espirito_santo;-20.3155;-40.3128;Vitória;0.0010789185150854;1;1;0;0;;;;0.0;2.0;2.0;;;
CATANDUVA/sao_paulo;Catanduva;sao_paulo;-21.1314;-48.977;Catanduva;0.0010752615650394;1;1;0;0;;;;0.0;0.0;1.0;;;
UNIVASSOURAS ARTSUL/rio_de_janeiro;Univassouras Artsul;rio_de_janeiro;-22.7556;-43.4603;Nova Iguaçu;0.0010742619779999;1;1;0;0;;;;0.0;2.0;2.0;;;
GRÊMIO ANÁPOLIS/goias;Grêmio Anápolis;goias;-16.3281;-48.953;Anápolis;0.0010669240563573;1;1;0;0;;;;0.0;0.0;0.0;;;
FALCON/sergipe;Falcon;sergipe;-10.9091;-37.0677;Aracaju;0.0010656391544034;0;2;2;2;;;;;;;1.0;0.0;3.0
BANGU/rio_de_janeiro;Bangu;rio_de_janeiro;-22.9129;-43.2003;Rio de Janeiro;0.0010647581145276;1;1;0;0;;;;0.0;2.0;2.0;;;
GOIANÉSIA/goias;Goianésia;goias;-15.3118;-49.1162;Goianésia;0.0010571658168228;1;1;0;0;;;;0.0;0.0;0.0;;;
VOCEM/sao_paulo;Vocem;sao_paulo;-22.6622;-50.4181;Assis;0.0010554780747801;1;1;0;0;;;;0.0;0.0;1.0;;;
BARRA/sergipe;Barra;sergipe;-10.91;-37.0317;Barra dos Coqueiros;0.0010540345573266;0;2;2;2;;;;;;;1.0;0.0;3.0
CRUZEIRO/rio_grande_do_sul;Cruzeiro;rio_grande_do_sul;-29.95;-51.0833;Cachoeirinha;0.0010468709011752;1;1;0;4;;;;1.0;1.0;3.0;;;
