clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
COMERCIAL/sao_paulo;-21.1699;-47.8099;0.0008083411225108;0;0;0;1;1;2
CARAPEBUS/rio_de_janeiro;-22.1821;-41.663;0.0008032490942478;0;0;0;1;1;1
COIMBRA/minas_gerais;-19.9102;-43.9266;0.0008019944283993;0;0;0;1;1;1
NAÇÃO/santa_catarina;-26.3045;-48.8487;0.0008019221668388;0;0;3;0;0;0
MINEIROS/goias;-17.5654;-52.5537;0.0008003507794221;0;0;0;0;2;3
MADUREIRA/rio_de_janeiro;-22.9129;-43.2003;0.0007997570628567;0;0;0;1;1;1
CONCÓRDIA/santa_catarina;-27.2335;-52.026;0.0007975224853392;0;0;3;0;0;0
GUARANI/minas_gerais;-20.1446;-44.8912;0.0007970044541556;0;0;0;1;1;1
SANTA HELENA/goias;-17.8115;-50.5977;0.0007736818356603;0;0;0;1;2;2
COLORADO CAIEIRAS/sao_paulo;-23.3639;-46.7411;0.0007724526960348;0;0;0;1;1;1
CARLOS RENAUX/santa_catarina;-27.0977;-48.9107;0.0007723894670025;0;0;3;0;0;0
SERC/mato_grosso_do_sul;-18.7836;-52.6178;0.0007711085393701;0;0;0;0;2;3
NACIONAL/parana;-25.4195;-49.2646;0.0007683371330468;0;0;3;0;0;0
AMÉRICA/goias;-17.7334;-49.1059;0.0007678461224276;0;0;0;1;2;2
UNIÃO DE RONDONÓPOLIS/mato_grosso;-16.4673;-54.6372;0.0007659654766135;0;0;0;0;2;3
SERRA MACAENSE/rio_de_janeiro;-22.3768;-41.7848;0.0007648766438649;0;0;0;1;1;1
GRÊMIO MAUAENSE/sao_paulo;-23.6677;-46.4613;0.0007640188711359;0;0;0;1;1;1
SÃO PAULO/rio_grande_do_sul;-32.0349;-52.1071;0.0007525991140481;0;0;3;0;0;0
SANTA CATARINA/santa_catarina;-27.2156;-49.643;0.000752410467419;0;0;3;0;0;0
ANDRAUS/parana;-25.4578;-49.5297;0.0007521009447496;0;0;3;0;0;0
DOM BOSCO/mato_grosso;-15.601;-56.0974;0.0007517220244777;0;0;2;0;2;3
SERTÃOZINHO/sao_paulo;-21.1316;-47.9875;0.0007511032564034;0;0;0;1;1;2
BELA VISTA/goias;-16.9733;-48.9525;0.0007505785887454;0;0;0;1;2;2
SANTA CRUZ/rio_grande_do_sul;-29.722;-52.4343;0.0007492989182715;0;0;3;0;0;0
UNIÃO SÃO JOÃO/sao_paulo;-22.3572;-47.3842;0.0007492686643115;0;0;0;1;1;1
TUPI/minas_gerais;-21.7595;-43.3398;0.0007447730436025;0;0;0;1;1;1
AMÉRICA T.O/minas_gerais;-19.9102;-43.9266;0.000741853012253;0;0;0;1;1;1
MACAÉ/rio_de_janeiro;-22.3768;-41.7848;0.0007416975250646;0;0;0;1;1;1
ZINZA/rio_de_janeiro;-22.9129;-43.2003;0.000741556105702;0;0;0;1;1;1
VALERIODOCE/minas_gerais;-19.6239;-43.2312;0.0007363497748823;0;0;0;1;1;1
JOSEENSE/sao_paulo;-23.3053;-45.9658;0.0007355963443542;0;0;0;1;1;1
PARANAVAÍ/parana;-23.0816;-52.4617;0.0007332924897322;0;0;3;0;0;0
JUVENTUS JARAGUÁ/santa_catarina;-26.4851;-49.0713;0.0007317663365158;0;0;3;0;0;0
SÃO CRISTÓVÃO/rio_de_janeiro;-22.9129;-43.2003;0.0007301123520456;0;0;0;1;1;1
OSASCO AUDAX/sao_paulo;-23.5324;-46.7916;0.0007255886786679;0;0;0;1;1;1
RIO BRANCO/parana;-25.5161;-48.5225;0.0007247621199163;0;0;3;0;0;0
OPERÁRIO/mato_grosso;-15.65;-56.1325;0.0007239035968124;0;0;2;0;2;3
SÃO JOSEENSE/parana;-25.5347;-49.2064;0.0007209907163998;0;0;3;0;0;0
IVINHEMA/mato_grosso_do_sul;-22.3046;-53.8184;0.0007169147102572;0;0;3;0;2;3
PATRIOTAS/parana;-25.4195;-49.2646;0.0007163542695117;0;0;3;0;0;0
ELITE CD/rio_grande_do_sul;-32.0349;-52.1071;0.0007155788224477;0;0;3;0;0;0
JABAQUARA/sao_paulo;-23.9535;-46.335;0.0007146040748105;0;0;0;1;1;1
TAGUATINGA/distrito_federal;-15.8333;-48.0569;0.0007144273093788;0;0;0;1;2;2
RIOGRANDENSE/rio_grande_do_sul;-29.6868;-53.8149;0.0007082140159686;0;0;3;0;0;0
ABECAT OUVIDORENSE/goias;-18.2367;-47.8389;0.0007070350932233;0;0;0;1;2;2
CAMPOS/rio_de_janeiro;-21.7622;-41.3181;0.0007059520401011;0;0;0;1;1;1
ASEEV/goias;-16.8317;-49.5317;0.000704830753028;0;0;0;1;2;2
LUZIÂNIA/goias;-16.253;-47.95;0.000698289555364;0;0;0;1;2;2
ESTRELA DO NORTE/espirito_santo;-20.8462;-41.1198;0.0006982758509332;0;0;0;1;1;1
SAMAMBAIA/distrito_federal;-15.8778;-48.0833;0.0006919840547225;0;0;0;1;2;2
JATAIENSE/goias;-17.8784;-51.7204;0.0006915552414456;0;0;0;1;2;2
MATONENSE/sao_paulo;-21.6025;-48.364;0.0006880999779583;0;0;0;1;2;2
RIO PRETO/sao_paulo;-20.8113;-49.3758;0.0006815473101479;0;0;0;1;2;2
INTER DE LAGES/santa_catarina;-27.815;-50.3259;0.000681334214225;0;0;3;0;0;0
TANABI/sao_paulo;-20.6228;-49.6563;0.0006801985923022;0;0;0;1;2;2
CA PATROCINENSE/minas_gerais;-18.9379;-46.9934;0.0006769557352933;0;0;0;1;2;2
BÚZIOS/rio_de_janeiro;-22.7481;-41.8817;0.0006741407177073;0;0;0;1;1;1
PELOTAS/rio_grande_do_sul;-31.7653;-52.3375;0.0006718159442372;0;0;3;0;0;0
IGUAÇU/parana;-26.2273;-51.0873;0.0006572501177224;0;0;3;0;0;0
ABD/goias;-15.9333;-50.14;0.0006570476585644;0;0;0;1;2;2
ARRAIAL DO CABO/rio_de_janeiro;-22.8697;-42.3326;0.0006543119976328;0;0;0;1;1;1
FUTEBOL COM VIDA/rio_grande_do_sul;-30.0822;-51.0189;0.0006535656035742;0;0;3;0;0;0
NOVA CIDADE/rio_de_janeiro;-22.8057;-43.4233;0.000649453888291;0;0;0;1;1;1
VILAVELHENSE/espirito_santo;-20.3417;-40.2875;0.0006480584241402;0;0;0;1;1;1
ATLÉTICO TUBARÃO/santa_catarina;-28.4713;-49.0144;0.0006474981448483;0;0;3;0;0;0
CEILANDENSE/distrito_federal;-15.8208;-48.1122;0.0006448985582928;0;0;0;1;2;2
CARAVAGGIO/santa_catarina;-28.6364;-49.4978;0.0006424467275871;0;0;3;0;0;0
AMÉRICA/sao_paulo;-20.8113;-49.3758;0.0006404733297932;0;0;0;1;2;2
LARANJA MECÂNICA/parana;-23.4144;-51.4233;0.0006403169886132;0;0;3;0;0;0
IMPÉRIO SERRANO/rio_de_janeiro;-22.9129;-43.2003;0.0006394408538768;0;0;0;1;1;1
CORUMBAENSE/mato_grosso_do_sul;-19.0077;-57.651;0.000638311663015;0;0;3;0;2;3
PARATY/rio_de_janeiro;-23.2178;-44.7131;0.0006374277149428;0;0;0;1;1;1
7 DE ABRIL/rio_de_janeiro;-22.9068;-43.1729;0.0006369945334303;0;0;0;1;1;1
NITEROIENSE/rio_de_janeiro;-22.8832;-43.1034;0.0006355510749486;0;0;0;1;1;1
RIO VERDE/goias;-17.7923;-50.9192;0.0006351310798288;0;0;0;1;2;2
AZURIZ/parana;-26.2292;-52.6706;0.0006340359480953;0;0;3;0;0;0
MANTHIQUEIRA/sao_paulo;-22.8075;-45.1938;0.0006309664274612;0;0;0;1;1;1
COXIM/mato_grosso_do_sul;-18.5013;-54.751;0.0006300235733681;0;0;3;0;2;3
TUPY/goias;-15.8653;-50.8678;0.0006268095221989;0;0;0;1;2;2
ARAXÁ/minas_gerais;-19.5902;-46.9438;0.0006246938154219;0;0;0;1;1;2
PSTC/parana;-23.1811;-50.6467;0.0006228018570144;0;0;3;0;0;0
ARAÇATUBA/sao_paulo;-21.2076;-50.4401;0.0006216374344308;0;0;0;0;2;2
BAGÉ/rio_grande_do_sul;-31.3297;-54.0999;0.0006199752470474;0;0;3;0;0;0
ANGRA DOS REIS/rio_de_janeiro;-23.0011;-44.3196;0.0006191451607342;0;0;0;1;1;1
CAPIXABA/espirito_santo;-18.715;-40.4053;0.0006114541042857;0;0;0;1;1;1
GUARANI/santa_catarina;-27.6455;-48.6697;0.0006072588651426;0;0;3;0;0;0
CAPITAL/distrito_federal;-15.8222;-47.9781;0.0006060566968851;0;0;0;1;2;2
APAFUT/rio_grande_do_sul;-29.1678;-51.1794;0.0006009919990138;0;0;3;0;0;0
METROPOLITANO/santa_catarina;-26.9155;-49.0709;0.0005987007214503;0;0;3;0;0;0
TOLEDO/parana;-24.7122;-53.7431;0.0005972383030687;0;0;3;0;0;0
LEÃO DO VALE - CIANORTE/parana;-23.6599;-52.6054;0.0005948696191152;0;0;3;0;0;0
MORRINHOS/goias;-15.9333;-50.14;0.0005938875811772;0;0;0;1;2;2
