clube;uf;pagerank_score
Viana;MA;0.0004921001273071066
Barra Mansa;RJ;0.0004920538524235162
Baré;RR;0.0004893249490665726
Boca Júnior;SE;0.0004883600715200702
União Central;RJ;0.0004881622662567961
São José;AP;0.0004881122890650194
At. Itapemirim;ES;0.0004862530362617346
Unirb;BA;0.00048555477832135205
Verê;PR;0.00048520116537902026
Academia;MT;0.0004851562701025901
Socorrense;SE;0.0004848628353157963
Pedreira;PA;0.0004839451292404977
Inter De Minas;MG;0.0004834395905942944
Luminense;MA;0.0004833629450622834
Mageense;RJ;0.00048323977954307126
Vilhenense;RO;0.0004811671221435157
Jaguar;PE;0.00048048551941357964
Araucária;PR;0.0004788659718155408
Unaí;MG;0.00047807644007543174
Grêmio Pague Menos;CE;0.0004773484707312533
Alvorada;AM;0.00047669542771307293
Sparta;TO;0.00047564932770159966
Santana;AP;0.0004752743920648731
Rolândia;PR;0.0004748114082569493
Visão Celeste;RN;0.00047228654869798216
Picuiense;PB;0.00047203013921136067
Sport Belém;PA;0.0004717464053974682
Avenida;RS;0.00047105290930527736
Mazagão;AP;0.0004696158156147041
Cliper;AM;0.00046949796015440144
Boston City Brasil;MG;0.00046860338357837094
Genus;RO;0.00046809618437326295
Amadense;SE;0.0004675507987201467
Riopardense;RS;0.000465588375038989
Paraense;PA;0.00046524871296544897
Primavera;MT;0.0004630535515163373
Atlético Roraima;RR;0.000459177544692046
Novo Horizonte;RS;0.00045716960735899415
Grêmio Maringá;PR;0.00045506571913450384
Glória;RS;0.00045346229968380866
Vila Rica;PA;0.0004490622417011419
Garibaldi;RS;0.00044781822123868243
Nacional Uberaba;MG;0.00044658803907492313
Portuguesa;MS;0.00044515077831542476
Sport Atibaia;SP;0.0004413242628915436
Jacobinense;BA;0.0004411503748208177
Assisense;SP;0.00044088327334121206
Osvaldo Cruz;SP;0.0004395500385898143
Rio Grande;RN;0.00043905046082243313
Santarritense;MG;0.0004384081360841867
Tirol;CE;0.0004317604166592891
Olímpia;SP;0.00043147311964220807
Próspera;SC;0.0004305741622881872
Botafogo;BA;0.00042977163474425045
Vasco Da Gama;AC;0.00042965147382723653
Red Bull Brasil;SP;0.00042876172782487507
União Mogi;SP;0.0004279321359681468
Palmeira De Goianinha;RN;0.0004266686020476569
Pombal;PB;0.00042460920883881966
Santa Cruz Riachuelo;SE;0.00042263853257483094
São Luís;MA;0.00042223562592991605
União Beltrão;PR;0.00042220589866917113
Barcelona;RJ;0.0004216476541024386
Spartax;PB;0.0004183029957989268
Cte Colatina;ES;0.00041762061575081823
Nova Conquista;TO;0.0004164612924581325
Igaci;AL;0.00041520572598081277
Legião;DF;0.0004129987679377707
Belo Jardim;PE;0.000412294162503504
Itaberaí;GO;0.0004115139574593112
Red Bull Bragantino Ii;SP;0.00041111441709704925
Araguaia;MT;0.000410768274183877
Iraty;PR;0.00041060694294255427
Sport Capixaba;ES;0.00040978756063407215
Força Jovem Aquidabã;SE;0.0004087097452493987
Farroupilha;RS;0.0004083505155710746
Lemense;SP;0.0004081882221959196
Flamengo;PE;0.00040808728661948033
Dimensão Saúde;AL;0.0004077505441559408
Juazeiro;BA;0.0004064494115072786
Rioverdense;GO;0.0004063761527367751
Arapongas;PR;0.00040589625894930307
Operário Ceov;MT;0.00040524101290522233
Sete De Junho;SE;0.0004022113324310988
União;MS;0.0004018784008914544
São José;MA;0.0004010252888532132
Plácido De Castro;AC;0.00040046292081550525
Adesg;AC;0.0003969548148577592
Santo Ângelo;RS;0.00039594332854981436
Socorro;SE;0.0003955371228730283
Porto;BA;0.00039538418765978597
Cacerense;MT;0.0003951673797505838
Ceo;AL;0.0003932128771592322
Itaboraí Profute;RJ;0.00039308598730148936
Riostrense;RJ;0.00039249796002514744
Imbituba;SC;0.00039239850881807336
Parnamirim;RN;0.00039233735614081083
Fernandópolis;SP;0.0003917685543784176
União;CE;0.0003915749651259398
São Mateus;ES;0.0003909835289349228
Atlético Pernambucano;PE;0.0003893549674196177
1° De Maio;PE;0.0003891169572402929
Portuguesa Londrinense;PR;0.00038858181072446774
Flamengo;SE;0.0003864849360546945
Villa Real;MG;0.00038584776692547184
Campo Mourão;PR;0.00038354114579732744
Doce Mel;BA;0.00038264313729042886
Pantanal;MS;0.0003815357390142443
Real;RR;0.0003812000793986816
Cambé;PR;0.00038055766629203707
Atlético Itajaí;SC;0.00037987371196259324
Serranense;MG;0.00037970372371244734
Novo Esporte;MG;0.0003796550434944439
Aruc;DF;0.0003778832877949608
Sesp Samambaense;DF;0.00037617484745088253
Miguelense;AL;0.0003754670103462679
Tiradentes;PI;0.0003718575171488614
Propriá;SE;0.0003717277313536716
Grêmio Valparaíso;GO;0.00037112536544098664
Perilima;PB;0.0003702722547513942
Ferroviário Do Cabo;PE;0.00036986590108864764
Linhares;ES;0.0003672855220130991
Sport Lagoa Seca;PB;0.00036695234851106195
Cruzeiro;PB;0.000363234582931885
Monte Roraima;RR;0.00036217844604352026
