clube_id;clube;estado;lat;lon;cidade;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5
JUVENTUS/sao_paulo;Juventus;sao_paulo;-23.5329;-46.6395;São Paulo;0.0009154268084457058;1;1;0;0
RIO CLARO/sao_paulo;Rio Claro;sao_paulo;-22.4114;-47.5614;Rio Claro;0.0009148388429386992;1;1;0;0
GAZIN PORTO VELHO/rondonia;Gazin Porto Velho;rondonia;-8.76077;-63.8999;Porto Velho;0.0009135194335924258;0;0;1;1
ÁGUIA/para;Águia;para;-5.38075;-49.1327;Marabá;0.0009123191248794096;0;0;3;3
PRIMAVERA/sao_paulo;Primavera;sao_paulo;-23.0816;-47.2101;Indaiatuba;0.0009098255933404348;1;1;0;0
ITABUNA/bahia;Itabuna;bahia;-14.7876;-39.2781;Itabuna;0.0009091985121529599;0;2;2;2
GOIATUBA/goias;Goiatuba;goias;-18.0105;-49.3658;Goiatuba;0.0009084835835799781;1;1;0;0
UNI SOUZA/rio_de_janeiro;Uni Souza;rio_de_janeiro;-22.8669;-43.3458;Rio de Janeiro;0.0009058781745621988;1;1;0;0
GONÇALENSE/rio_de_janeiro;Gonçalense;rio_de_janeiro;-22.5047;-43.1814;Petrópolis;0.0009032161849025271;1;1;0;0
AFOGADOS DA INGAZEIRA/pernambuco;Afogados Da Ingazeira;pernambuco;-7.74312;-37.631;Afogados da Ingazeira;0.0009018595327010476;0;2;2;2
