clube;uf;pagerank_score
Red Bull Bragantino Ii;SP;0.0003929870681651
Juventude B;RS;0.0003921415834932
Sport Capixaba;ES;0.0003903656160639
Lemense;SP;0.0003902816740945
Itaberaí;GO;0.0003892587913471
Arapongas;PR;0.0003884866752854
Flamengo;PE;0.0003882913669595
Força Jovem Aquidabã;SE;0.0003864056205193
Juazeiro;BA;0.0003847363147304
Rioverdense;GO;0.0003843164377615
São José;MA;0.0003829415171248
Coimbra-Mg B;MG;0.0003825443393603
Ceo;AL;0.0003823937634169
São Mateus;ES;0.0003817731621957
Plácido De Castro;AC;0.0003813372577268
Santo Ângelo;RS;0.0003804902824088
Sete De Junho;SE;0.0003802622981797
União;MS;0.0003802449930771
Guarany;RS;0.000378696077317
Adesg;AC;0.0003786806162549
União;CE;0.000378577313458
Real;RR;0.000378488135895
Serranense;MG;0.000377359573592
Villa Real;MG;0.0003766025586087
Porto;BA;0.0003747718801466
Fernandópolis;SP;0.0003745143569539
Socorro;SE;0.0003740134136647
Sorriso;MT;0.0003734346938483
Imbituba;SC;0.000372696115613
Itaboraí Profute;RJ;0.000372146579737
Riostrense;RJ;0.0003717490224217
Parnamirim;RN;0.0003713217758229
Novo Esporte;MG;0.0003706374433554
Portuguesa Londrinense;PR;0.0003702783827666
Atlético Pernambucano;PE;0.0003698702102667
1° De Maio;PE;0.0003691111357371
Juventus;SC;0.0003677716066222
Campo Mourão;PR;0.000367316951663
Doce Mel;BA;0.0003659953600019
Flamengo;SE;0.000365423337064
Monte Roraima;RR;0.0003644978778869
Cambé;PR;0.0003622918338156
Atlético Itajaí;SC;0.0003621012309672
Pantanal;MS;0.0003613000412866
Miguelense;AL;0.0003593675059515
Formosa;GO;0.000358185901364
Aruc;DF;0.0003581475119699
Perilima;PB;0.0003579101496523
Sesp Samambaense;SE;0.0003569295201264
Botafogo Pb;PB;0.0003561832459349
Linhares;ES;0.0003531099298186
Ferroviário Do Cabo;PE;0.0003520429208844
Grêmio B;RS;0.0003517550451239
Grêmio Valparaíso;GO;0.0003516351425163
Tiradentes;PI;0.0003514538297132
Propriá;SE;0.0003514066051987
Sport Lagoa Seca;PB;0.0003507868736193
Essube;MG;0.0003488178083287
Atl. Três Corações;MG;0.0003474828375591
Cruzeiro;PB;0.0003465998810104
Ssa;BA;0.0003424536961606
Náutico;MS;0.0003401686728349
Jaciobá;AL;0.0003397710405762
Campo Grande;CE;0.0003387938734191
Tarumã;AM;0.0003378229256761
Iranduba;AM;0.0003377161578213
Vilhena;RO;0.0003368107518343
Rio Negro;RR;0.0003366085349672
Rio Branco - Vn;ES;0.0003358680133098
Cabense;PE;0.0003356698284516
Univap Apodi;RN;0.0003346843859364
Renovação;AP;0.0003337931080226
Santacruzense;SP;0.0003296002357237
Aster Brasil;ES;0.0003295855204232
Riachão;SE;0.0003287128181891
São José;TO;0.000328070122124
Cacerense;MT;0.000327081630009
Coritiba;SE;0.0003261579869054
Inter Sm;RS;0.0003247908220951
Agrimaq Jequiaense;AL;0.0003246202931472
Tiradentes;PA;0.0003227697650133
Vênus;PA;0.0003211472994347
Aracaju;SE;0.000318596217531
Assu;RN;0.0003170038211936
Esporte Limoeiro;CE;0.0003169775869216
Atlético Piauiense;PI;0.0003166128312105
Forte;ES;0.0003165331185318
Cruzeiro;DF;0.0003165103948204
Cruzeiro;AP;0.0003136678566341
Bacabal;MA;0.0003118883691593
12 Horas;RS;0.000311779085428
Castelo;ES;0.0003116461412488
Alvorada;TO;0.0003115275803503
Torres Brasil;PE;0.0003101897880218
Manchester Futebol;MG;0.0003095481433764
Jc Futebol Clube;AM;0.0003075952693749
Barcelona Esportivo;SP;0.0003070947479751
Náuas;AC;0.0003070102851279
Casimiro De Abreu;RJ;0.0003042796417282
Andirá;AC;0.000300645038267
